size insert merge quick heap
100 98124 187135 32245 112958 
200 380766 388018 73991 265333 
300 884000 615500 123693 441576 
400 1582502 867770 179150 635470 
500 2367704 1027299 222165 791113 
600 3283891 1193877 262215 952694 
700 4469446 1405609 312291 1128000 
800 5847652 1631089 368837 1329160 
900 7297614 1839989 416705 1508179 
1000 9117219 2053184 476059 1703083 
1100 11218110 2319164 538937 1941528 
1200 13043323 2498737 583016 2098081 
1300 15490516 2748847 651086 2329331 
1400 17767607 2941045 702516 2530456 
1500 20254187 3181482 750594 2716285 
1600 23214488 3391138 816428 2940491 
1700 26193019 3603830 869159 3170288 
1800 29338034 3821517 926343 3351007 
1900 32730306 4065906 996418 3568101 
2000 36205836 4257125 1046105 3780366 
2100 39953429 4481225 1107517 4009543 
2200 43863195 4764796 1179234 4226343 
2300 47461472 4956034 1219127 4420377 
2400 51799116 5148528 1275345 4652799 
2500 56344027 5386512 1337423 4860453 
2600 60902915 5661652 1400598 5096969 
2700 65635729 5871511 1467458 5335264 
2800 70531944 6096025 1539529 5567036 
2900 75781234 6304031 1593915 5778022 
3000 81026165 6549424 1649205 6010355 
3100 86259815 6777520 1712931 6217261 
3200 92013837 6971210 1754583 6443650 
3300 97512459 7220812 1832497 6675557 
3400 105808748 7549612 1923441 6973648 
3500 109741525 7629446 1944840 7088107 
3600 115616035 7784632 2002483 7303216 
3700 122038768 8078209 2076814 7546115 
3800 128942930 8290201 2129707 7779916 
3900 135787991 8478742 2187268 7982002 
4000 142972504 8675717 2259053 8223305 
4100 150910214 8980586 2330615 8483420 
4200 158171515 9164513 2385673 8700182 
4300 164905235 9422720 2437265 8925731 
4400 173174864 9669443 2509812 9194397 
4500 181185116 9937818 2576778 9409475 
4600 188408024 10088947 2628598 9620351 
4700 197343817 10342958 2706172 9898254 
4800 205190879 10577454 2759179 10101529 
4900 213947247 10765813 2820679 10325723 
5000 223353284 11026257 2886151 10571244 
5100 235515507 11574642 3015378 10993561 
5200 242297871 11582914 3038518 11138561 
5300 251789686 11871668 3099959 11361056 
5400 262282944 12203309 3209744 11730200 
5500 271306409 12228182 3234379 11856106 
5600 280914213 12589227 3319364 12119692 
5700 290440866 12787162 3353340 12279832 
5800 299484662 12908403 3416826 12473612 
5900 310242373 13129376 3485357 12748084 
6000 321575593 13425240 3549989 13003651 
6100 331499323 13656570 3606970 13219045 
6200 342539604 13852240 3668754 13491146 
6300 354020211 14101513 3753305 13754530 
6400 366077051 14317666 3824336 13975940 
6500 375640084 14563936 3879364 14220338 
6600 388493060 14770248 3945703 14418513 
6700 400659247 15001972 4017172 14692377 
6800 414528732 15303491 4085674 15053669 
6900 425872482 15509154 4160269 15254379 
7000 438252031 15809816 4232204 15455659 
7100 449637718 15986814 4287659 15685288 
7200 462694769 16135847 4343918 15895800 
7300 474546172 16385603 4400018 16117517 
7400 486716384 16623263 4475140 16415182 
7500 500351641 16839196 4548257 16643677 
7600 514564328 17041170 4621705 16885841 
7700 527738769 17281355 4680750 17065106 
7800 542188481 17509543 4754016 17393109 
7900 557328870 17763596 4827768 17711137 
8000 571725949 18033199 4897182 17978188 
8100 584166842 18179805 4939130 18065645 
8200 599485222 18333152 5007931 18337578 
8300 612620694 18638633 5062169 18610356 
8400 628882305 18945423 5163275 18876515 
8500 643457983 19137067 5202638 19090916 
8600 659685996 19350102 5282047 19361440 
8700 673259824 19616325 5367274 19684909 
8800 694297313 20046791 5464721 19966756 
8900 708746216 20221339 5503459 20315208 
9000 726666806 20536622 5623287 20529121 
9100 741949553 20768779 5635468 20770623 
9200 758308421 20967545 5728944 21018744 
9300 773282958 21042269 5778952 21212061 
9400 787070590 21359082 5882247 21490268 
9500 804924051 21737083 5935395 21725725 
9600 821190935 21809827 5995908 21962913 
9700 836067813 22014083 6062855 22058918 
9800 851215181 22210282 6067839 22302579 
9900 869660447 22498096 6160043 22588810 
10000 884653179 22610213 6197311 22764234 
